Geneid	gene_name	product	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj
M8Y62_10380	tdcB	bifunctional threonine ammonia-lyase/L-serine ammonia-lyase TdcB	3.63757458808929	3.65397408811973e-21	-4.18383512113987	7.8288072438593e-107	-0.55195340030106	0.0327476815592419
M8Y62_26485	M8Y62_26485	hypothetical protein	1.34357446848955	4.93792557800809e-21	-1.35600127026098	1.01307654507155e-26	-0.0164885688016038	0.922192289188164
M8Y62_22850	M8Y62_22850	hypothetical protein	2.12364507199801	8.47460715864903e-21	-1.23545260368273	1.57357780329825e-18	0.883490817031075	3.60107268489262e-08
M8Y62_10970	infC	translation initiation factor IF-3	1.62982313778086	1.00240974115439e-20	-1.25435548119984	2.43724200799243e-21	0.371445247426517	0.00592039096005456
M8Y62_09815	M8Y62_09815	non-heme ferritin-like protein	2.26156658248387	1.1833923499543e-20	-1.82658141027032	1.06096390761749e-18	0.431747245147492	0.00285921246198748
M8Y62_21405	aceE	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type	-2.05335599980116	1.61329671427614e-20	1.81216110150971	8.20072025503859e-22	-0.2454947295628	0.0789117402379164
M8Y62_19920	hupB	DNA-binding protein HU-beta	2.13949742898915	2.17154664182557e-20	-1.60755802405925	6.88834954981352e-15	0.527831336829689	8.48173636759793e-06
M8Y62_05390	recA	recombinase RecA	0.895896829663156	2.22673360700222e-20	0.108517703656342	0.332540636026391	1.00167777803822	1.00281584477537e-23
M8Y62_26555	M8Y62_26555	DUF2251 domain-containing protein	1.220878689969	2.3191164959265e-20	-2.5833066922382	8.05170323465914e-106	-1.36556025900727	5.0987890674912e-33
M8Y62_02445	degQ	serine endoprotease DegQ	-1.16462291473057	3.29175285087912e-20	0.052028471368206	0.690415071873116	-1.1154710278525	3.14851806607003e-20
M8Y62_19310	M8Y62_19310	DUF1471 domain-containing protein	1.87662919923716	6.78136586913891e-20	-3.03167782146475	4.88713455519149e-136	-1.15689389120233	6.31676351820298e-14
M8Y62_02640	rpmA	50S ribosomal protein L27	1.31471030641034	9.75727713213161e-20	0.0836626221452478	0.580929500949318	1.39527918904146	3.55076680236171e-35
